datetime,demand,plant,net_generation,coal,hydro,natural_gas,nuclear,other,solar,wind,total_interchange
20200313T23Z,43397.0,ERCO,35222.0,5995.0,67.0,14764.0,5094.0,9.0,0.0,9291.0,-71.0
20200313T22Z,43607.0,ERCO,37990.0,6535.0,66.0,17789.0,5092.0,7.0,0.0,8499.0,-138.0
20200313T21Z,43419.0,ERCO,40944.0,7244.0,64.0,21057.0,5092.0,4.0,0.0,7479.0,-435.0
20200313T20Z,42990.0,ERCO,43223.0,7203.0,67.0,23785.0,5093.0,5.0,0.0,7068.0,-542.0
20200313T19Z,42458.0,ERCO,44304.0,7230.0,150.0,25530.0,5093.0,8.0,0.0,6292.0,-558.0
20200313T18Z,41787.0,ERCO,44190.0,7221.0,143.0,26470.0,5092.0,9.0,28.0,5228.0,-617.0
20200313T17Z,41145.0,ERCO,44554.0,7075.0,108.0,27265.0,5092.0,5.0,224.0,4784.0,-522.0
20200313T16Z,40155.0,ERCO,45512.0,7161.0,144.0,28265.0,5092.0,20.0,671.0,4160.0,-633.0
20200313T15Z,39023.0,ERCO,45951.0,7211.0,157.0,27955.0,5091.0,30.0,1172.0,4334.0,-540.0
20200313T14Z,38029.0,ERCO,45774.0,7247.0,143.0,27408.0,5092.0,13.0,1400.0,4470.0,-541.0
20200313T13Z,37331.0,ERCO,45138.0,7313.0,147.0,26554.0,5092.0,23.0,1614.0,4395.0,-534.0
20200313T12Z,35635.0,ERCO,43715.0,7282.0,154.0,25063.0,5093.0,18.0,1627.0,4479.0,-182.0
20200313T11Z,33595.0,ERCO,42021.0,7194.0,145.0,22633.0,5094.0,16.0,1503.0,5438.0,-57.0
20200313T10Z,32458.0,ERCO,40857.0,7168.0,107.0,20993.0,5094.0,13.0,1150.0,6333.0,-78.0
20200313T09Z,32370.0,ERCO,39578.0,6616.0,132.0,18993.0,5094.0,11.0,890.0,7843.0,-148.0
20200313T08Z,32875.0,ERCO,38300.0,5005.0,142.0,17601.0,5095.0,9.0,437.0,10012.0,-152.0
20200313T07Z,33840.0,ERCO,37347.0,4035.0,105.0,15356.0,5095.0,5.0,103.0,12647.0,-355.0
20200313T06Z,35655.0,ERCO,37193.0,3911.0,104.0,14036.0,5095.0,5.0,0.0,14042.0,-432.0
20200313T05Z,38138.0,ERCO,35683.0,2831.0,104.0,12362.0,5096.0,5.0,0.0,15285.0,-509.0
20200313T04Z,41015.0,ERCO,33335.0,2451.0,67.0,9735.0,5096.0,6.0,0.0,15981.0,-511.0
20200313T03Z,43361.0,ERCO,31914.0,2467.0,67.0,8245.0,5094.0,7.0,0.0,16034.0,-512.0
20200313T02Z,44738.0,ERCO,31687.0,2465.0,68.0,8086.0,5094.0,8.0,0.0,15966.0,-497.0
20200313T01Z,44733.0,ERCO,32273.0,2620.0,68.0,8139.0,5096.0,9.0,0.0,16342.0,-337.0
20200313T00Z,45111.0,ERCO,33365.0,3263.0,68.0,9002.0,5096.0,4.0,0.0,15930.0,-122.0
20200312T23Z,46129.0,ERCO,35239.0,4250.0,67.0,10503.0,5097.0,5.0,0.0,15316.0,-167.0
20200312T22Z,46472.0,ERCO,37971.0,4819.0,67.0,13383.0,5097.0,8.0,0.0,14595.0,-169.0
20200312T21Z,46406.0,ERCO,40827.0,4657.0,67.0,17666.0,5097.0,7.0,0.0,13331.0,-497.0
20200312T20Z,45678.0,ERCO,43225.0,5781.0,103.0,21621.0,5097.0,6.0,0.0,10615.0,-555.0
20200312T19Z,44256.0,ERCO,44486.0,6753.0,148.0,24265.0,5098.0,5.0,0.0,8216.0,-570.0
20200312T18Z,42555.0,ERCO,44510.0,6770.0,179.0,25984.0,5099.0,8.0,70.0,6399.0,-556.0
20200312T17Z,41039.0,ERCO,45075.0,6782.0,144.0,26153.0,5099.0,11.0,612.0,6273.0,-594.0
20200312T16Z,39636.0,ERCO,45551.0,6748.0,144.0,26612.0,5099.0,16.0,1149.0,5783.0,-595.0
20200312T15Z,38378.0,ERCO,45376.0,6666.0,143.0,27031.0,5100.0,21.0,1388.0,5027.0,-593.0
20200312T14Z,37495.0,ERCO,44489.0,6586.0,144.0,27256.0,5100.0,19.0,1533.0,3854.0,-544.0
20200312T13Z,37345.0,ERCO,43240.0,6644.0,143.0,26779.0,5088.0,13.0,1878.0,2695.0,-439.0
20200312T12Z,36037.0,ERCO,41865.0,6562.0,156.0,25847.0,5079.0,15.0,1934.0,2273.0,-246.0
20200312T11Z,33766.0,ERCO,40501.0,6436.0,107.0,24457.0,5081.0,9.0,1959.0,2452.0,-121.0
20200312T10Z,32424.0,ERCO,39517.0,5617.0,142.0,23406.0,5077.0,11.0,1904.0,3361.0,-76.0
20200312T09Z,32198.0,ERCO,38485.0,5231.0,137.0,22201.0,5077.0,8.0,1614.0,4219.0,-8.0
20200312T08Z,32785.0,ERCO,37418.0,4466.0,133.0,21152.0,5077.0,8.0,910.0,5673.0,38.0
20200312T07Z,33861.0,ERCO,36754.0,4144.0,103.0,19525.0,5076.0,8.0,132.0,7767.0,-28.0
20200312T06Z,35577.0,ERCO,36625.0,3376.0,103.0,17883.0,5090.0,11.0,0.0,10161.0,-50.0
20200312T05Z,38092.0,ERCO,35021.0,2617.0,103.0,14836.0,5101.0,15.0,0.0,12352.0,-237.0
20200312T04Z,40995.0,ERCO,32649.0,2241.0,66.0,11678.0,5101.0,19.0,0.0,13544.0,-365.0
20200312T03Z,43393.0,ERCO,31251.0,2158.0,67.0,9413.0,5102.0,9.0,0.0,14504.0,-106.0
20200312T02Z,44983.0,ERCO,30880.0,2136.0,67.0,8313.0,5103.0,9.0,0.0,15253.0,-156.0
20200312T01Z,45064.0,ERCO,31550.0,2181.0,67.0,8198.0,5103.0,7.0,0.0,15993.0,-455.0
20200312T00Z,45644.0,ERCO,32356.0,2266.0,67.0,8549.0,5103.0,6.0,0.0,16364.0,-427.0
20200311T23Z,46108.0,ERCO,33615.0,2439.0,68.0,9325.0,5103.0,6.0,0.0,16673.0,-155.0
20200311T22Z,45971.0,ERCO,35977.0,3299.0,68.0,10798.0,5101.0,6.0,0.0,16698.0,-102.0
20200311T21Z,45084.0,ERCO,39002.0,3699.0,68.0,13733.0,5100.0,5.0,0.0,16396.0,-47.0
20200311T20Z,43834.0,ERCO,41171.0,3553.0,79.0,16960.0,5100.0,6.0,0.0,15472.0,-50.0
20200311T19Z,42410.0,ERCO,42347.0,3999.0,170.0,19494.0,5099.0,11.0,0.0,13574.0,-53.0
20200311T18Z,40942.0,ERCO,41842.0,4401.0,163.0,20561.0,5099.0,27.0,151.0,11442.0,-142.0
20200311T17Z,39763.0,ERCO,41792.0,4104.0,125.0,20308.0,5099.0,28.0,1066.0,11062.0,-144.0
20200311T16Z,38607.0,ERCO,42093.0,4326.0,125.0,20397.0,5100.0,16.0,1760.0,10369.0,-144.0
20200311T15Z,37494.0,ERCO,41908.0,4587.0,125.0,20706.0,5100.0,13.0,1898.0,9480.0,-141.0
20200311T14Z,36762.0,ERCO,41342.0,4543.0,134.0,21091.0,5101.0,8.0,2039.0,8428.0,-33.0
20200311T13Z,36586.0,ERCO,40691.0,4847.0,107.0,21736.0,5102.0,6.0,2106.0,6789.0,9.0
20200311T12Z,35049.0,ERCO,39944.0,5659.0,104.0,21808.0,5103.0,7.0,2204.0,5060.0,8.0
20200311T11Z,32698.0,ERCO,39199.0,5493.0,104.0,21994.0,5104.0,7.0,2215.0,4282.0,9.0
20200311T10Z,31489.0,ERCO,38658.0,5614.0,104.0,21957.0,5105.0,6.0,2128.0,3743.0,9.0
20200311T09Z,31245.0,ERCO,38190.0,5770.0,104.0,22173.0,5105.0,6.0,1442.0,3591.0,43.0
20200311T08Z,31656.0,ERCO,37590.0,5199.0,137.0,22233.0,5105.0,6.0,797.0,4113.0,129.0
20200311T07Z,32512.0,ERCO,37285.0,5268.0,103.0,21672.0,5106.0,11.0,119.0,5007.0,8.0
20200311T06Z,34070.0,ERCO,37088.0,4639.0,103.0,21129.0,5106.0,11.0,0.0,6099.0,10.0
20200311T05Z,36390.0,ERCO,35175.0,3282.0,103.0,19707.0,5107.0,12.0,0.0,6965.0,29.0
20200311T04Z,39158.0,ERCO,32521.0,2493.0,103.0,16771.0,5107.0,7.0,0.0,8042.0,18.0
20200311T03Z,41273.0,ERCO,30921.0,2448.0,67.0,13740.0,5107.0,7.0,0.0,9552.0,20.0
20200311T02Z,42394.0,ERCO,30423.0,2440.0,67.0,13214.0,5107.0,10.0,0.0,9585.0,79.0
